_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	load	secondary
v000001	-0.246957595	-0.133742934	0.0216158977	-0.095097003	0.1823950957	-0.068786678		
v000002	0.3399881174	-0.40588328	-0.072939338	-0.219388367	-0.310773691	0.1156249873	fac1	1
v000003	0.322390071	-0.004703332	-0.057874141	0.0188688714	-0.11502825	0.1229178996		
v000004	0.2065318302	-0.112048354	0.2183800114	0.2653577462	-0.120289385	0.0169939236		
v000005	0.2567559276	0.0197158064	0.0595307704	0.1474123635	0.0271117842	0.1957540221		
v000006	0.4577425414	-0.571077456	0.1536490988	-0.035760729	-0.173752022	-0.279623478	fac1	1
v000007	0.2410821186	-0.231897173	0.1062590372	-0.202523235	-0.040159132	0.0678889198		
v000008	0.3858802907	-0.147556906	-0.142657481	0.1667645661	0.0724585392	0.0503845071		
v000009	0.2443666936	-0.260240233	0.1892747632	-0.136813169	0.2990703289	0.1348677162		
v000010	0.4382359049	-0.056571186	0.1227219906	-0.02626638	-0.187571653	0.1403307043		
v000011	-0.001571594	-0.460845255	0.4402282674	-0.267146655	0.167948659	-0.040954485	fac3	1
v000012	0.4929643196	0.0201676896	0.2387703027	0.5555302651	-0.032643999	0.1879341234	fac1	1
v000013	0.6378868684	-0.324889649	0.3519607963	-0.249156328	-0.377560239	0.0487723994	fac5	1
v000014	0.2032559014	-0.275495571	0.5598458678	0.4092381953	-0.03259771	-0.209417756	fac4	1
v000015	0.4263415443	0.2739585068	0.3538672585	0.5072471703	0.2790985729	0.0634582034	fac1	1
v000017	0.49471206	-0.313963113	0.1468654792	-0.018545964	0.3098890905	0.4750375708	fac6	1
v000018	0.4929633816	-0.508784177	0.3020584449	-0.073526295	-0.310704046	0.0345511013	fac1	1
v000019	0.0331145891	-0.339795027	0.5990293381	0.2430066919	0.3348985131	-0.037173547	fac2	1
v000020	0.6089469927	-0.383543747	0.2305577188	-0.187983098	-0.130533241	-0.115634506	fac2	1
v000021	-0.253796176	-0.430487761	0.6264961078	-0.266035881	0.1007489785	-0.168399895	fac2	1
v000022	0.7102352253	0.333127099	0.1227728861	-0.015597264	0.1071798096	0.1193528649	fac2	1
v000023	0.6150965419	-0.512067167	-0.25348934	-0.179069881	-0.060599594	0.2948293261	fac2	1
v000024	0.3722597651	-0.328273583	0.2543632459	0.6625281007	-0.073552167	0.1823567662	fac1	1
v000025	0.3489889844	0.0510711413	0.3304813929	0.1691164807	0.5167951324	0.3444942563	fac1	1
v000026	-0.060657565	-0.318592081	0.8746293549	-0.367470798	0.3384992848	-0.09168338	fac4	1
v000027	0.5266165034	-0.102331346	0.1593929896	0.0456313979	-0.236246528	0.0098207318		
v000028	0.0167698868	-0.046327478	0.0607598188	1.2000818521	0.0137883993	0.244997951		
v000030	0.030573343	-0.268651346	0.122347061	-0.21024142	0.9505079021	0.2830560457		
v000031	0.4010196468	0.2887900129	0.3654818829	-0.178836757	0.4852028655	0.237433216	fac1	1
v000033	0.3029429059	-0.370569708	0.3939731348	0.1405084084	0.169638953	-0.372247728	fac6	1
v000034	0.6045840457	-0.437603527	-0.210235121	-0.176218234	0.0398659491	-0.031903531	fac2	1
v000035	0.1836202507	-0.27745831	0.0773097022	-0.069179686	0.4470060181	0.2023222541		
v000037	0.6226641157	-0.151171342	-0.153568189	-0.01545017	0.0207222691	-0.190160344		
v000038	0.2692719166	-0.301536711	0.2320508796	-0.071565142	0.7133112022	-0.089038756	fac2	1
v000039	0.4946786365	-0.411717064	0.2224052712	-0.278029305	-0.128785898	0.0967796886	fac2	1
v000040	0.3943060003	-0.496077147	-0.117610333	0.2952346243	0.2435862667	0.0170478782	fac1	1
v000041	0.3063299238	0.2189639969	0.5043498683	0.1104383481	0.421951606	-0.30507745	fac5	1
v000043	0.7539451266	-0.275605569	-0.547934428	-0.024135375	0.0739750825	0.0225976269	fac3	1
v000044	-0.131985757	-0.437493594	0.0841284548	-0.081778723	0.6058286947	0.1870064284	fac2	1
v000046	0.6020421526	-0.412129614	-0.403004348	-0.083179667	0.1085367068	0.2776545361	fac2	1
v000047	0.5382852401	-0.469356829	-0.041369236	-0.104962286	-0.35801101	-0.313859012	fac2	1
v000049	0.1187767343	-0.415260083	0.1413113832	-0.165292172	0.5821252667	0.2056313383	fac2	1
v000050	0.5249504719	-0.530337242	-0.324831848	-0.129290168	-0.025920205	0.0562084043	fac1	1
v000051	0.4021976159	0.1062447589	-0.134076562	0.0473075387	0.0928648043	0.3898630184	fac6	1
v000052	0.6501906276	-0.192446933	-0.086900754	-0.088996716	0.0692112259	0.0551935374		
v000055	0.2991767479	-0.351139932	-0.493844886	-0.169322088	0.4143566866	0.4342466136	fac6	1
v000056	0.3855528962	0.0127340702	-0.005267636	0.5366698526	0.3079728907	0.2717751808	fac1	1
v000060	0.6515954105	0.2398426842	-0.04313712	-0.286165687	0.0279904392	0.0144298211		
v000061	0.5078999636	0.5164243337	0.2303266496	-0.216794712	0.2702654283	0.048066706	fac1	1
v000062	0.1979923473	0.2618958315	0.2356553804	0.0967922728	0.7113986503	0.0736745983		
v000064	0.0541682728	-0.013119414	0.1836118117	1.2995338894	0.1104588102	-0.058014168		
v000065	0.0040379292	-0.108717757	0.1342571815	1.2984373804	0.1701297048	-0.029799422		
v000066	0.3158138416	-0.341283689	-0.139396479	-0.140579005	0.0772576277	-0.161980632	fac1	1
v000067	0.052099426	-0.569088268	0.1743644136	-0.123047335	0.1391091177	-0.401691863	fac6	1
v000068	0.1343640691	0.032567956	0.0686329572	-0.340785814	-0.417750275	0.4370482107	fac5	1
v000069	-0.099041455	-0.437114738	0.2240968055	-0.24811812	0.1072108321	-0.068290806		
v000070	0.1353637502	-0.122507292	0.4456724062	0.0328826021	-0.463006848	-0.119354246	fac3	1
v000071	0.552020285	0.2052234388	0.1473346555	-0.180600604	0.1252705107	0.1581308534		
v000072	-0.099528325	-0.360862302	0.4213791451	-0.269583052	0.666696889	0.3912803621	fac3	1
v000073	0.2066930046	-0.099886766	0.0597876175	0.4270992822	0.7368429363	0.1719863174	fac4	1
v000074	0.6147607744	-0.191720863	0.0653196602	0.0800805777	0.024017345	0.2479501458		
v000075	0.4941154232	-0.114899753	0.2586066225	0.5424136249	-0.167890597	0.1484799947	fac1	1
v000077	0.2515003855	-0.238404085	0.2639873842	0.1774313086	0.0541323945	0.229172373		
v000080	-0.038319758	0.1229638505	-0.016695687	-0.082493103	-0.533534057	0.3957039558	fac6	1
v000082	0.2405668315	-0.236661526	-0.064970904	0.5286475624	0.3599949445	0.4039760031	fac6	1
v000083	0.3208837045	-0.153785569	0.6011285279	-0.31043134	0.0237149224	-0.293538704	fac1	1
v000085	-0.358091618	-0.124026407	0.3984595721	-0.057931105	-0.022371417	-0.178569646	fac1	1
v000088	0.0651303347	0.0977650903	0.1351763326	0.0096911222	-0.606465524	0.3026671837	fac6	1
v000091	0.2996316416	-0.184959162	-0.020360639	0.1738556907	0.3819079315	0.3173556275	fac6	1
v000096	-0.190680462	-0.37388961	0.6501073449	-0.19121529	0.0116080513	-0.076831943	fac2	1
v000097	0.416724614	-0.140167744	0.1425744408	-0.122719362	-0.203966401	0.2504090638		
v000098	0.4165704471	-0.274830124	-0.357241475	-0.070270866	-0.210782788	0.2947415757	fac3	1
v000100	0.1408157174	-0.455754124	-0.017305461	-0.240314426	0.1457209864	0.6444252878	fac2	1
v000103	0.1200632464	-0.259450275	0.2003559366	-0.164938375	0.0548766495	0.2777860552		
v000104	0.1421789674	-0.199764947	0.4354344123	-0.050270976	-0.032975255	0.3074251513	fac6	1
v000105	-0.033524631	-0.05548057	0.6879813857	-0.078934297	0.0933501381	-0.006286918		
v000107	0.5381208395	0.2941956794	0.2808736256	0.1929417858	0.0573219516	0.2411169099		
v000108	-0.50331151	-0.420331761	0.4070676456	-0.22058135	-0.343046924	-0.248815308	fac2	1
v000110	0.4008848555	-0.247982902	0.2730162006	-0.272719082	-0.226974695	0.1774216209		
v000112	0.3654486832	0.0913153395	0.3875259502	-0.454061256	-0.255421735	-0.088922152	fac3	1
v000114	0.0258677063	-0.396945932	0.492968457	-0.133220511	-0.131113251	-0.194649604	fac2	1
v000116	0.2784004052	1.0695247582	0.2721939131	-0.086981059	-0.008428784	0.2191503185		
v000117	-0.044460601	-0.036998869	-0.270117896	-0.320841854	-0.091990277	0.7576603926	fac4	1
v000118	-0.067307391	-0.272885882	0.7180493917	-0.175344533	0.0742316653	-0.232933237		
v000121	-0.037986313	-0.150962783	0.6756662143	0.1347686114	0.285001	0.2763906714		
v000123	0.1012185534	-0.355081185	0.0087361985	-0.247003976	0.2750516804	0.5725254527	fac2	1
v000124	0.3866196288	0.7181564394	0.2465593023	-0.17741841	-0.255004248	0.454293975	fac6	1
v000125	-0.094978647	-0.190742239	0.6331889742	0.3533734611	-0.274852889	0.1204403474	fac4	1
v000126	0.1325953366	0.0174749759	-0.299009031	-0.142054147	-0.094091902	0.626949302		
v000128	-0.24141686	-0.391271009	0.6922680184	-0.259874168	-0.169912045	-0.177168474	fac2	1
v000132	0.0247912686	-0.145000268	0.4061256454	0.599395944	0.1274121085	-0.162596739	fac3	1
v000135	-0.270818642	-0.209616848	0.3243794018	0.1861361817	0.1193541821	0.2555172437		
v000136	0.2644911041	0.0951078805	0.3604537351	0.1976614068	-0.273699506	0.3439873151	fac6	1
v000137	0.4016507891	-0.176912175	-0.036198016	0.2096647443	-0.048660609	-0.082441644		
v000139	0.2024176867	0.150841472	0.0980420793	-0.06616048	-0.082411871	0.3324186664		
v000141	0.1600653797	-0.189551145	0.1204238469	0.037932218	-0.133147564	0.1697169938		
v000142	0.503129025	0.2727026689	0.1565368692	-0.195144428	-0.100964863	-0.101603566		
v000144	-0.004791537	-0.180054783	-0.089195142	0.0222177177	0.5844498911	0.1346106353		
v000145	0.4452346052	0.1745650198	-0.267922518	-0.14066996	-0.041824702	-0.191454084		
v000146	0.3228986775	-0.223540916	0.1245052778	0.5304123782	0.078638004	0.0349306196	fac1	1
v000147	0.1057679372	-0.098197217	0.0034332495	0.429302385	0.0160326993	0.0612590529		
v000148	0.3749850303	0.0214673442	0.0013071767	0.1136509841	-0.231429449	0.2031306697		
v000149	0.3667760356	-0.077647374	-0.080963973	-0.275458033	-0.549730653	0.145533778	fac1	1
v000152	-0.090500267	-0.296818192	0.2385630418	-0.097376472	0.1076639086	0.0295691268		
v000155	0.0138825319	-0.2469433	0.4195256093	-0.12429523	-0.408292333	-0.237794379	fac5	1
v000158	0.3324774144	-0.161476072	-0.055544821	0.140200502	-0.096779227	0.0738078791		
v000159	-0.261170127	0.3864956561	0.3893096774	-0.293662821	0.6599929045	-0.07863364	fac3	1
v000161	0.0313860271	0.2415120978	0.056577671	-0.171687956	-0.418209948	0.2379053579		
v000165	-0.207072906	-0.167537329	0.2485258409	0.0127601002	-0.005584157	-0.284863969		
v000167	0.1258052958	-0.112148354	0.0967809807	-0.141553065	-0.028285947	-0.178960467		
v000169	0.2768834192	0.0419525366	-0.110855824	-0.179953637	0.5829321253	-0.009357284		
v000171	-0.108139377	-0.069541107	0.1543895663	-0.26101614	0.7480266257	-0.019253059		
v000172	0.4014659078	0.1732868263	-0.118789557	-0.039285083	-0.082856469	0.0372536656		
v000177	0.3075480927	0.9090330176	-0.082141614	-0.133860974	0.1739079219	-0.135952361	fac1	1
v000179	0.3857287033	0.1310931481	-0.069862934	-0.325816067	0.1713868239	-0.241118094	fac4	1
v000182	-0.350219549	-0.260006043	0.3021491255	0.2165084759	0.0752878071	-0.516682487	fac1	1
v000183	-0.193281835	-0.330365386	0.1942758384	0.20766278	0.0123008027	-0.12942194		
v000184	0.6181835454	-0.143046575	-0.46301305	0.2095456839	0.0396704719	-0.146230761	fac3	1
v000185	0.271699934	0.7389335655	0.0061927783	-0.080943076	0.0965302788	-0.175274171		
v000186	0.0346190103	0.2746313891	0.2593739463	-0.362781689	0.5970961625	-0.23174699	fac4	1
v000187	0.0997180166	0.091283616	0.1002675779	-0.405576074	0.3755426841	0.1286735646	fac5	1
v000189	-0.287400196	-0.401753672	0.3296244624	0.0022530237	-0.008962438	-0.469359832	fac2	1
v000192	0.2394573691	-0.23309836	0.142628153	-0.061806381	-0.003759738	-0.47685505		
v000193	0.0959500201	0.2290563682	-0.039836389	0.2858947328	0.556704841	0.0602328574		
v000196	-0.239143806	-0.402360401	-0.579139853	-0.117172529	0.5055058293	0.3362024721	fac5	1
v000199	0.0968146249	0.0066250521	0.0658349152	-0.075366673	0.5089514548	-0.001706569		
v000202	-0.311519241	-0.355042312	0.1191325815	0.0012450735	-0.029475794	-0.975201583	fac2	1
v000204	-0.22266534	0.3024038016	0.2775154112	-0.091006562	-0.020374344	-0.173775179		
v000209	0.2590535243	-0.040412524	-0.238944178	0.5754342671	0.0192114078	-0.112021903		
v000210	0.44446347	-0.249445536	-0.303064958	-0.108087049	0.1315011055	0.0311571347	fac3	1
v000212	0.0741136844	-0.145872165	-0.057323677	1.0357480428	0.0028209285	-0.089285096		
v000213	0.0128022401	0.0287150553	0.1174455255	-0.08331818	0.5926959518	-0.154142906		
v000215	0.4184010018	0.0717319483	-0.282121024	-0.045907315	-0.23954066	-0.024037388		
v000222	0.4119846936	-0.306198912	-0.130813043	-0.284000133	-0.225905542	-0.361884015	fac6	1
v000223	0.1458903987	0.1141975816	0.026341028	0.4616905021	0.212074701	-0.376077109	fac6	1
v000229	0.0351436325	-0.19390207	0.1550114402	-0.047124926	0.2663431226	-0.264279189		
v000230	-0.194236367	-0.105267217	0.0052321699	-0.125810985	0.5932818683	0.048904218		
v000232	0.0882230944	1.1061720778	-0.019688682	-0.131854065	0.2004308392	-0.153280075		
v000233	0.3014337218	0.9545124823	-0.003629885	-0.13999368	0.11789265	-0.20147026	fac1	1
v000234	-0.050080013	-0.307494285	0.2349305391	0.027208022	0.0038918799	-0.317894548	fac2	1
v000236	0.3009829192	0.1991754498	-0.119341711	-0.108416521	0.0658510303	-0.218252711		
v000238	0.0488260569	-0.43468455	-0.061687532	0.5696145824	0.1099462331	-0.156623088	fac2	1
v000240	-0.275987384	-0.015560744	0.038928759	0.3446265324	0.5074824974	-0.263116189	fac4	1
v000241	0.160536672	0.3443330847	0.0421207785	-0.148225392	0.6832438353	-0.169265268	fac2	1
v000243	-0.076056639	-0.117845702	0.1994160602	-0.15773961	0.0380575792	-0.548049289		
v000244	-0.058935615	-0.151801731	-0.182183492	1.1446580922	-0.126722665	-0.307295312	fac6	1
v000245	0.4484417142	-0.090016937	-0.581863908	-0.007512223	-0.015892805	-0.112919359	fac1	1
v000248	0.3934325627	-0.097198193	-0.444257015	-0.020571868	-0.014219851	-0.242551879	fac1	1
v000249	0.1576298479	0.9533558005	-0.20059745	-0.092808288	0.0132064206	-0.038380844		
v000252	0.2765197019	-0.085404611	-0.579049679	0.0915824854	0.116974686	-0.04135209		
v000255	0.0912182535	-0.192205364	0.0406652847	-0.295832243	0.1756718273	-0.273543845		
v000257	-0.034050018	0.0795225508	0.3197280432	-0.185145418	0.0992313314	-0.469499916	fac3	1
v000258	0.3009784816	-0.087029119	-0.177769669	-0.145068306	0.2763114582	-0.212481598		
v000259	-0.253982411	0.029658051	0.2360428251	-0.113250508	0.0363805144	-0.75702332		
v000260	-0.163334443	-0.128467878	0.2704796326	0.0451458399	0.4146236745	-0.094120794		
v000262	0.1660111814	0.0776455112	-0.149553352	-0.002155493	0.0184699454	-0.427110234		
v000265	0.0208998424	-0.080203316	-0.194631825	-0.243947701	0.6851078186	0.2532802181		
v000266	0.0914291125	-0.290445524	0.173426213	-0.031534406	0.0821421047	-0.229851783		
v000269	0.2296366305	-0.03306329	-0.151408115	0.1498688659	0.3299197449	-0.121136959		
v000270	-0.171249226	-0.162955762	-0.134052644	0.0077938428	0.6089590882	0.2576422393		
v000275	0.1047980433	-0.180872558	-0.236035871	-0.028283877	-0.251252703	-0.087060228		
v000276	0.2123824142	-0.188012791	-0.086363824	-0.093560312	-0.21383464	-0.140252353		
v000277	-0.237000426	-0.100120651	0.0731518262	1.0827068453	0.1473321548	-0.140850548		
v000279	-0.066885976	-0.148025402	0.0197146467	-0.206051681	-0.203901017	-0.411371987		
v000280	0.2191105617	-0.30245073	0.0360971878	-0.159737715	-0.221933437	-0.508317803	fac2	1
v000281	-0.005173793	-0.020600677	-0.121371355	-0.03693666	0.5288851975	0.2557764483		
v000283	0.1702754265	-0.073946778	0.2360857475	-0.230671328	-0.055788778	-0.167054959		
v000288	-0.535564904	-0.042065641	0.1305334845	-0.061805208	-0.003440106	-0.300042221	fac6	1
v000291	0.0750100389	-0.059357714	0.1583431733	-0.220210942	-0.178540492	-0.370943249		
v000293	0.1047342574	-0.154482558	-0.028611849	-0.001965871	-0.133792013	-0.136048373		
v000295	0.0028150686	0.3348604806	-0.094917841	0.0521991946	-0.157451478	0.1073376954		
v000299	0.3026022182	-0.013422794	-0.030606905	0.2791006501	-0.063649027	-0.030523955		
v000300	0.1067022164	0.1226353252	0.157476483	0.2902331512	-0.130437906	0.1423651889		
v000311	0.0271491161	0.4687674091	0.4575002591	-0.185270291	0.016147989	-0.093809329	fac3	1
v000314	0.3518230548	0.4125986293	0.1070004325	-0.153760939	-0.233945681	-0.087952188	fac1	1
v000317	-0.121881094	-0.375249964	-0.304460046	-0.232297342	0.2677933208	0.4535983494	fac2	1
v000318	-0.161680207	0.268204469	-0.049782494	-0.092053532	-0.237005705	0.3861831359		
v000322	0.0321196348	-0.122858552	0.1226769971	-0.104843072	0.0340995588	0.2817134709		
v000325	-0.142511824	-0.282522843	0.0737676653	0.570844782	0.1479182185	-0.113900008		
v000326	-0.202251705	0.1511656459	-0.097831364	-0.138376278	-0.247753627	0.2842718533		
v000328	-0.472791198	0.0003381863	0.1154412187	-0.013082619	0.030568494	-0.274770718		
v000329	-0.151271227	-0.100574185	0.2759321652	0.1272808475	-0.189856087	-0.040515621		
v000331	0.1721084478	-0.081951057	-0.254647264	-0.174083913	-0.473978551	0.0221876396		
v000333	-0.198521726	-0.138151262	-0.059796804	-0.242416372	0.1340934971	0.2836954161		
v000337	0.2053888531	0.0892124465	0.0244293668	-0.133941001	-0.10576867	0.2526036869		
v000349	-0.01169712	-0.149302736	0.0478140687	0.696457537	-0.035554719	0.0436770043		
v000353	-0.012553973	0.0170002024	0.2416304933	0.770336677	0.101626774	0.0619642313		
v000356	-0.010612159	-0.10534913	0.0360653799	0.0808981007	-0.467871463	0.430333348	fac6	1
v000361	-0.03009554	-0.117218249	0.0046413124	-0.111191226	-0.020360318	0.3210822865		
v000363	0.1181894699	-0.203938066	-0.220106484	0.1145702639	-0.086081596	0.3640876494		
v000364	-0.271054204	0.1835774081	0.1164783734	-0.174401166	-0.373486615	0.429642584	fac5	1
v000366	-0.224817114	-0.084478853	0.3700053842	0.1724938335	-0.458756421	0.0909298849	fac3	1
v000367	-0.048943872	0.1669635542	0.0272386673	0.0728732891	-0.145197738	0.2788379638		
v000368	0.2446186395	0.0514977826	-0.238216726	0.0491665133	-0.288185821	0.2248814427		
v000369	-0.082591889	-0.083505452	0.3379521025	-0.127672307	-0.065123044	0.3133708483	fac6	1
v000371	-0.044799982	-0.037459826	-0.197206026	-0.13898859	-0.055374583	0.1329312817		
v000373	-0.025556015	0.1220404655	0.3106579165	-0.124308091	-0.108276503	0.4088312476	fac3	1
v000374	-0.181043023	-0.238554966	0.2191927894	-0.207700456	0.0856685996	0.2234880257		
v000375	-0.161945663	-0.048590827	0.330860857	-0.078978527	-0.172624998	-0.043519335		
v000379	-0.028801213	-0.125813103	0.0144547446	-0.127964927	0.0327545881	0.2068539123		
v000380	0.1445425103	-0.013030491	-0.070004246	0.2732699686	0.0181581183	0.4197658479		
v000381	0.0053219601	-0.117122218	-0.044504688	-0.259874684	-0.144411015	0.5048912114		
v000386	-0.333092904	0.1234083031	0.3824393076	-0.055683767	0.2099360288	0.1979920955	fac1	1
v000387	-0.187928877	-0.062631491	0.1504446101	0.7729841464	-0.180685399	0.1583769594		
v000388	0.1983584325	0.296763138	0.0589968788	-0.127030771	0.1032949478	0.4314411116		
v000391	-0.09472649	-0.274422119	0.5584737771	0.4649430372	-0.152663487	0.1049447732	fac4	1
v000396	0.1150923784	-0.076065079	-0.039595244	0.2272953086	-0.106246085	0.2348473945		
v000401	-0.257293307	0.0602018212	-0.031437645	-0.150889796	-0.385442816	0.1982967572		
v000406	-0.002408237	-0.045003755	0.1101757044	-0.012770822	-0.10493438	0.5255115209		
v000407	0.2126773164	0.2492507838	-0.035944477	0.062170413	-0.257382325	0.3260101835		
v000409	-0.162278335	-0.172852115	0.1569721388	-0.216945436	0.0365192695	0.502060992		
v000416	0.1096816315	-0.340405732	-0.030953165	0.289443075	-0.215712983	0.333913242	fac6	1
v000419	-0.050404301	0.113770323	0.1906290981	0.1777775149	0.0903435426	0.3488817918		
v000421	0.1268662754	0.0757669135	0.0969211635	-0.197978397	-0.262328545	0.2140608586		
v000426	0.1471962885	0.0494869732	0.0745712676	0.2019007341	-0.294813101	0.3552314946		
v000427	-0.097377914	0.0786572258	0.0605805829	-0.041005146	-0.661404666	0.4050953133	fac6	1
v000435	-0.56699752	-0.170324002	0.2202205657	-0.224715244	-0.029169268	0.485913409	fac6	1
v000436	-0.485181573	-0.158414198	0.1597755757	-0.175433908	-0.273822865	0.4406342717	fac6	1
v000440	0.0252611053	0.1614323159	0.0724193631	0.0850048901	-0.149844961	0.1468589969		
v000442	-0.103098085	0.2822235479	0.1927052878	-0.064730448	-0.348620281	0.3834380578	fac5	1
v000448	0.127930171	0.2866427707	0.0447589169	0.0318493529	-0.220849554	0.268847408		
v000449	-0.057097365	1.0545787433	0.271721549	-0.20483095	0.0527845447	0.3190294661	fac6	1
v000450	-0.446173457	-0.122216793	0.2907163439	-0.02239328	-0.394661674	0.131304357	fac5	1
v000453	-0.104092033	-0.125074677	0.1380019145	-0.03405512	-0.298831237	0.1130540577		
v000454	-0.250685262	-0.13166959	0.0621041549	-0.22326853	-0.322464857	-0.176798118		
v000456	0.1740205077	0.0696683424	-0.011977915	-0.043947131	-0.222436561	0.2452899956		
v000463	-0.14048451	-0.032806253	0.2944500992	-0.055984034	-0.289236227	0.5717490528		
v000467	-0.020474337	-0.124848273	-0.040103962	-0.076289233	-0.128885713	0.1922972881		
v000468	-0.00181514	0.0417191835	0.1647242444	-0.352553293	0.004782125	0.1991496692		
v000469	-0.18342113	0.1131087743	0.443902785	-0.065633662	0.1532202918	0.3405543326	fac6	1
v000470	-0.333102951	0.0192025886	0.0451352411	0.1745519947	-0.233235611	0.4255993164	fac1	1
v000473	-0.53736948	-0.259504107	0.2371167155	0.1439907108	-0.264469278	0.0458701904		
v000474	-0.102296595	0.4356430792	0.5609481523	-0.012150959	0.0437063853	-0.138688346	fac2	1
v000480	-0.072970143	0.2378131238	0.1277651697	-0.19065893	-0.231024297	0.2381581156		
v000484	-0.372530634	-0.001377576	0.3837200129	-0.014028263	-0.020984557	0.1178217895	fac1	1
v000487	-0.439093286	-0.147004859	0.128974989	0.3776608696	-0.177382446	0.0245658479	fac4	1
v000489	-0.190703006	0.0962412696	0.0619411612	0.8390947136	-0.224555699	0.0901993361		
v000490	-0.243877887	-0.018102707	0.1200414091	-0.001174325	-0.742334705	0.1752732959		
v000493	-0.260740515	-0.062808629	0.0976087705	-0.161062801	0.1364211875	0.5286595608		
v000495	-0.138418053	0.0850815343	0.1118710392	0.7280548966	-0.205729583	0.2054733349		
v000497	0.0447372428	0.4380101086	0.1309310073	-0.085718767	-0.004535808	0.0968651787		
v000499	-0.356146428	-0.098302147	0.4523224115	-0.011433136	0.1345548692	-0.0702047	fac1	1
v000501	-0.081907826	0.2459601574	0.1644203954	-0.032903244	-0.079970797	0.0555058702		
